FileDate,Type,LeadCV,Area,FileTime,_id,Strength,Name,Location,LeadEdge,
29-Oct-2015,2,4087,154,16:55:57,56328a7b182d7c170a63ac37,95,4304_FF1234168_0002.csv,2968,47,
29-Oct-2015,2,4089,0,16:55:57,56328a7b182d7c170a63ac38,0,4304_FF1234168_0002.csv,2974,59,
29-Oct-2015,2,4090,41,16:52:15,56328a7b182d7c170a63ac39,17,4304_FF1234168_0003.csv,2969,40,
29-Oct-2015,2,4088,0,16:52:15,56328a7b182d7c170a63ac3a,0,4304_FF1234168_0003.csv,2975,57,
29-Oct-2015,2,4089,0,17:17:17,56328ce2182da77ce66b00ed,0,4304_FF1234168_0002.csv,2975,62,
29-Oct-2015,2,4089,0,17:20:56,56328dbb182da77ce66b00ee,0,4304_FF1234168_0002.csv,2975,63,
29-Oct-2015,2,4089,0,17:21:33,56328de0182da77ce66b00ef,0,4304_FF1234168_0003.csv,2975,80,
29-Oct-2015,2,4083,0,17:22:11,56328e08182da77ce66b00f0,0,4304_FF1234168_0002.csv,2976,81,
29-Oct-2015,0,4090,0,17:22:11,56328e08182da77ce66b00f1,0,4304_FF1234168_0002.csv,2979,3627,
29-Oct-2015,3,4058,968,17:22:48,56328e2f182da77ce66b00f2,392,4304_FF1234168_0002.csv,2982,81,
29-Oct-2015,3,4057,895,17:22:48,56328e2f182da77ce66b00f3,333,4304_FF1234168_0002.csv,2917,3,
29-Oct-2015,3,4089,213,17:22:48,56328e2f182da77ce66b00f4,161,4304_FF1234168_0002.csv,407,14,
29-Oct-2015,3,4057,110,17:22:48,56328e2f182da77ce66b00f5,147,4304_FF1234168_0002.csv,2943,10,
29-Oct-2015,3,4059,362,17:22:48,56328e2f182da77ce66b00f6,134,4304_FF1234168_0002.csv,2957,20,
29-Oct-2015,3,4057,342,17:22:48,56328e2f182da77ce66b00f7,133,4304_FF1234168_0002.csv,2926,4,
29-Oct-2015,3,4089,329,17:22:48,56328e2f182da77ce66b00f8,116,4304_FF1234168_0002.csv,295,13,
29-Oct-2015,3,4058,289,17:22:48,56328e2f182da77ce66b00f9,116,4304_FF1234168_0002.csv,2927,4,
29-Oct-2015,3,4058,250,17:22:48,56328e2f182da77ce66b00fa,116,4304_FF1234168_0002.csv,2939,8,
29-Oct-2015,3,4057,82,17:22:48,56328e2f182da77ce66b00fb,116,4304_FF1234168_0002.csv,2960,23,
29-Oct-2015,3,4089,390,17:22:48,56328e2f182da77ce66b00fc,115,4304_FF1234168_0002.csv,213,12,
29-Oct-2015,3,4088,291,17:22:48,56328e2f182da77ce66b00fd,115,4304_FF1234168_0002.csv,286,15,
29-Oct-2015,3,4089,470,17:22:48,56328e2f182da77ce66b00fe,114,4304_FF1234168_0002.csv,296,13,
29-Oct-2015,3,4057,173,17:22:48,56328e2f182da77ce66b00ff,114,4304_FF1234168_0002.csv,2925,4,
29-Oct-2015,3,4089,343,17:22:48,56328e2f182da77ce66b0100,109,4304_FF1234168_0002.csv,415,14,
29-Oct-2015,3,4089,235,17:22:48,56328e2f182da77ce66b0101,108,4304_FF1234168_0002.csv,431,6,
29-Oct-2015,3,4059,345,17:22:48,56328e2f182da77ce66b0102,107,4304_FF1234168_0002.csv,2958,22,
29-Oct-2015,3,4089,221,17:22:48,56328e2f182da77ce66b0103,105,4304_FF1234168_0002.csv,230,14,
29-Oct-2015,3,4089,332,17:22:48,56328e2f182da77ce66b0104,104,4304_FF1234168_0002.csv,337,11,
29-Oct-2015,3,4090,189,17:22:48,56328e2f182da77ce66b0105,104,4304_FF1234168_0002.csv,363,11,
